,high,last,low,symbol,volume
330,320.87,320.14,312.24,MSCI,2603.0
331,16.09,16.05,15.29,MYL,40330.0
332,117.82,117.67,112.23,NDAQ,3137.0
333,12.81,12.76,11.9,NOV,25285.0
334,43.4,43.27,41.12,NTAP,10457.0
335,425.32,425.25,415.42,NFLX,28144.0
336,15.11,15.02,14.61,NWL,22485.0
337,56.67,56.42,53.16,NEM,81954.0
338,11.84,11.81,11.26,NWSA,9684.0
339,11.87,11.83,11.33,NWS,2892.0
340,249.9,249.72,241.33,NEE,8739.0
341,15.31,15.27,14.57,NLSN,13048.0
342,97.79,97.7,93.44,NKE,60553.0
343,23.33,23.3,22.48,NI,7366.0
344,10.42,10.31,9.43,NBL,63431.0
345,17.58,17.51,16.43,JWN,63951.0
346,178.78,178.34,171.29,NSC,5315.0
347,84.17,84.02,80.53,NTRS,6856.0
348,315.23,314.38,308.55,NOC,6405.0
349,20.27,20.24,19.4,NLOK,21458.0
350,20.5,20.05,18.17,NCLH,643946.0
351,33.36,33.34,32.05,NRG,12819.0
352,42.27,42.27,39.59,NUE,10237.0
353,365.89,364.37,349.75,NVDA,62103.0
354,3278.88,3262.3,3050.0,NVR,2705.0
355,416.16,415.41,403.0,ORLY,2339.0
356,19.46,19.17,17.1,OXY,332941.0
357,161.55,161.08,153.57,ODFL,4045.0
